Data,obitos
01/02/2021,225143
02/02/2021,226383
03/02/2021,227592
04/02/2021,228883
05/02/2021,230127
06/02/2021,231069
07/02/2021,231561
08/02/2021,232248
09/02/2021,233588
10/02/2021,234945
11/02/2021,236397
12/02/2021,237601
13/02/2021,238647
14/02/2021,239294
15/02/2021,239895
16/02/2021,240983
17/02/2021,242178
18/02/2021,243610
19/02/2021,244955
20/02/2021,246006
21/02/2021,246560
22/02/2021,247276
23/02/2021,248646
24/02/2021,250079
25/02/2021,251661
26/02/2021,252988
27/02/2021,254263
28/02/2021,255018
01/03/2021,255836
02/03/2021,257562
03/03/2021,259402
04/03/2021,261188
05/03/2021,262938
06/03/2021,264446
07/03/2021,265500
08/03/2021,266614
09/03/2021,268568
10/03/2021,270917
11/03/2021,273124
12/03/2021,275276
13/03/2021,277216
14/03/2021,278327
15/03/2021,279602
16/03/2021,282400
17/03/2021,285136
18/03/2021,287795
19/03/2021,290525
20/03/2021,292856
21/03/2021,294115
22/03/2021,295585
23/03/2021,298843
24/03/2021,301087
25/03/2021,303726
26/03/2021,307326
27/03/2021,310694
28/03/2021,312299
29/03/2021,314268
30/03/2021,317936
31/03/2021,321886
01/04/2021,325559
02/04/2021,328366
03/04/2021,330297
04/04/2021,331530
05/04/2021,333153
06/04/2021,337364
07/04/2021,341097
08/04/2021,345287
09/04/2021,348934
10/04/2021,351469
11/04/2021,353293
12/04/2021,355031
13/04/2021,358718
14/04/2021,362180
15/04/2021,365954
16/04/2021,369024
17/04/2021,371889
18/04/2021,373442
19/04/2021,375049
20/04/2021,378530
21/04/2021,381687
22/04/2021,383757
23/04/2021,386623
24/04/2021,389609
25/04/2021,390925
26/04/2021,392204
27/04/2021,395324
28/04/2021,398343
29/04/2021,401417
30/04/2021,404287
01/05/2021,406565
02/05/2021,407775
03/05/2021,408829
04/05/2021,411854
05/05/2021,414645
06/05/2021,417176
07/05/2021,419393
08/05/2021,421484
09/05/2021,422418
10/05/2021,423436
11/05/2021,425711
12/05/2021,428256
13/05/2021,430596
14/05/2021,432785
15/05/2021,434852
16/05/2021,435823
17/05/2021,436862
18/05/2021,439379
19/05/2021,441857
20/05/2021,444391
21/05/2021,446527
22/05/2021,448291
23/05/2021,449185
24/05/2021,450026
25/05/2021,452224
26/05/2021,454623
27/05/2021,456753
28/05/2021,459171
29/05/2021,461142
30/05/2021,462092
31/05/2021,462966
01/06/2021,465312
02/06/2021,467706
03/06/2021,469784
04/06/2021,470968
05/06/2021,472629
06/06/2021,473495
07/06/2021,474614
08/06/2021,477307
09/06/2021,479791
10/06/2021,482135
11/06/2021,484350
12/06/2021,486358
13/06/2021,487476
14/06/2021,488404
15/06/2021,491164
16/06/2021,493837
17/06/2021,496172
18/06/2021,498621
19/06/2021,500868
20/06/2021,501918
21/06/2021,502817
22/06/2021,504897
23/06/2021,507240
24/06/2021,509282
25/06/2021,511272
26/06/2021,512819
27/06/2021,513544
28/06/2021,514202
29/06/2021,516119
30/06/2021,518246
01/07/2021,520189
02/07/2021,522068
03/07/2021,523699
04/07/2021,524475
05/07/2021,525229
06/07/2021,527016
07/07/2021,528611
08/07/2021,530344
09/07/2021,531777
10/07/2021,532949
11/07/2021,533546
12/07/2021,534311
13/07/2021,535924
